doc_id;numero_convocatoria;nivel1;nivel2;descripcion;tipos_beneficiarios;sectores;tipo_convocatoria;importe;abierto;fecha_fin_solicitud;heuristic_relevance;heuristic_reason;relevance;annotator;notes
1125928;924367;LOCAL;QUART DE POBLET;Convenio de la Clavaría Virgen de la luz con el Ayuntamiento de Quart de Poblet 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;OTROS SERVICIOS;Concesión directa - instrumental;6500.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125899;924338;LOCAL;MASSANASSA;Subvención nominativa 2026 Cáritas Parroquial, Parroquia San Pedro Apóstol de Massanassa;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Educación | Servicios de investigación y seguridad;Concesión directa - instrumental;10000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125898;924337;LOCAL;MASSANASSA;SUBVENCION NOMINATIVA FONS PER LA SOLIDARITAT 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES;Concesión directa - instrumental;1000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125879;924318;LOCAL;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;CONVENIO DE ACUERDO DE LA JGL DEL 02/07/2026 CONCESIÓN DE SUBVENCIÓN NOMINATIVA CON CÁRITAS DIOCESANA DE SEGORBE-CASTELLÓN PARA LA EJECUCIÓN DEL PROYECTO “ATENCIÓN Y ACOMPAÑAMIENTO A PERSONAS EN SITUACIÓN DE SIN HOGAR. AÑO 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES;Concesión directa - instrumental;630000.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125872;924311;LOCAL;MASSANASSA;Subvención nominativa 2025 Cáritas Parroquial, Parroquia San Pedro Apóstol de Massanassa;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Actividades de servicios sociales sin alojamiento | Educación;Concesión directa - instrumental;4353.66;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125814;924253;LOCAL;DIPUTACIÓN PROV. DE VALENCIA;Convocatoria SARC_Festivales, muestras y certámenes 2026 ;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES;Concurrencia competitiva - canónica;260000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125810;924249;LOCAL;QUART DE POBLET;Convenio Asociación Moros y Cristianos con el Ayuntamiento de Quart de Poblet 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;OTROS SERVICIOS;Concesión directa - instrumental;30000.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125791;924230;LOCAL;GUARDAMAR DEL SEGURA;Subvención nominativa al Club Voleibol Guardamar, periodo 2025-2026.;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Actividades deportivas;Concesión directa - instrumental;1500.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125782;924221;LOCAL;QUART DE POBLET;CONVENIO ASOCIACIÓN SENSE DIFERÈNCIES 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;EDUCACIÓN;Concesión directa - instrumental;600.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125781;924220;LOCAL;DIPUTACIÓN PROV. DE CASTELLÓN;Subvenciones para excursiones socioculturales de Asociaciones y Entidades federativa de personas jubiladas y pensionistas, mujeres y Amas de Casa de la provincia de Castellón. Ejercicio 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Otras actividades de servicios sociales sin alojamiento;Concurrencia competitiva - canónica;70000.0;False;11/09/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125778;924217;LOCAL;LORIGUILLA;ADQUISICIÓN DE MATERIAL ESCOLAR DE LOS ALUMNOS/AS ESCOLARIZADOS EN EL PRIMER Y SEGUNDO CICLO DE EDUCACIÓN INFANTIL, ASÍ COMO EN LA ETAPA EDUCATIVA OBLIGATORIA;;;;;;;;;0;me;
"CURSO 2026-2027""";PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Educación preprimaria | Educación primaria | Educación secundaria y educación postsecundaria no terciaria;Concurrencia competitiva - canónica;19000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);;;;;0;me;
1125777;924216;LOCAL;ALCORA, L';Convenio cátedra l'Alcora Universitat Jaume I;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Otras actividades de servicios sociales sin alojamiento;Concesión directa - instrumental;25000.0;False;30/09/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125772;924211;LOCAL;GUARDAMAR DEL SEGURA;Subvención nominativa al Club Deportivo de Bicicleta de Montaña de Guardamar del Segura. Anualidad 2026.;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Actividades deportivas;Concesión directa - instrumental;2500.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125762;924201;LOCAL;ALMASSORA;SUBVENCIÓN NOMINATIVA 2026 CLUB GIMNASIA ARTÍSTICA ALMASSORA;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Actividades deportivas;Concesión directa - instrumental;6730.72;False;07/08/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125703;924142;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 ASOC GRUPO YOGA ALBUIXECH;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;500.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125698;924137;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 ASOCIACIÓ ESCOLA DE DANSA CLÀSSICA ALBUIXECH;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;500.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125692;924131;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 ASSOCIACIÓ DE PILATES DE ALBUIXECH;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;500.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125689;924128;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026  ALBUIXECH BOXING CLUB;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;1320.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125686;924125;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 ASOCIACIÓN TAEKWON-DO ALBUIXECH;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;2200.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125684;924123;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 CLUB DE TIR AMB ARC D'ALBUIXECH;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;800.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125683;924122;LOCAL;DIPUTACIÓN PROV. DE CASTELLÓN;SUBVENCIONES A MUNICIPIOS Y ELM PARA CATÁSTROFES NATURALES 2026, GASTO CORRIENTE( Incendio iniciado en el término de La Vall d'Uixó el 25 de julio de 2026);PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concurrencia competitiva - canónica;940000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125680;924119;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 C.F. INDEPENDENT;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;8500.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125674;924113;LOCAL;GELDO;Geldo y Acción 2026 - VIII Festial de geldo y acción, decreto Alcaldía 2026-0379;PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES;Concurrencia competitiva - canónica;2100.0;False;30/06/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125672;924111;LOCAL;TOUS;CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA, CON DESTINO AL FOMENTO DE DEPORTISTAS FEDERADOS DEL MUNICIPIO DE TOUS, AÑO 2026.;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concurrencia competitiva - canónica;3000.0;False;30/11/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125656;924095;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 CLUB COLOMBÓFILO SAN RAMÓN;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;600.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125653;924092;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 SOCIEDAD COLOMBICULTORA LA ALBUIXEQUENSE;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;1500.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125650;924089;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 CLUB PILOTA VALENCIANA ALBUIXECH;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;3400.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125646;924085;LOCAL;GUARDAMAR DEL SEGURA;Subvención nominativa a la Asociación de Comerciantes de Guardamar del Segura. Anualidad 2026.;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Actividades asociativas;Concesión directa - instrumental;7000.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125644;924083;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 PEÑA CICLISTA EL RAYO;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;2100.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125632;924071;LOCAL;XALÓ;BASES REGULADORAS Y CONVOCATORIA DE LA CAMPAÑA DE FOMENTO DEL CONSUMO EN EL COMERCIO LOCAL DE XALÓ, MEDIANTE;;;;;;;;;0;me;
LA EMISIÓN DE BONOS DE COMERCIO;" anualidad 2026""";PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TRANSPORTE Y ALMACENAMIENTO;Concurrencia competitiva - canónica;81474.0;False;;2;beneficiario empresarial claro;;;;0;me;
1125621;924060;LOCAL;ALBUIXECH;Subvención Directa C.F. Albuixech - Tablets 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;832.46;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125567;924006;LOCAL;SUECA;Convocatoria de subvenciones destinadas a la campaña de promoción de bonos comercio del ejercicio 2026;PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA;COMERCIO AL POR MAYOR Y AL POR MENOR;Concurrencia competitiva - canónica;40000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);2;me;
1125566;924005;LOCAL;ALBUIXECH;Subvención Nominativa Presupuesto 2026 ASOCIACIÓN NIÑOS SUZUKI EN ACCIÓN;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;500.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125559;923998;LOCAL;CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA;"Convenio de colaboración entre el Ayuntamiento de Castellón de la Plana y la Valencian Music Association para la realización del proyecto ""Trovam - La Fira Valenciana de la Musica 2026""";PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;ACTIVIDADES ARTÍSTICAS, DEPORTIVAS Y DE ENTRETENIMIENTO;Concesión directa - instrumental;25000.0;False;31/12/2026;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
1125558;923997;LOCAL;ELIANA, L';Subvención nominativa a favor de la Asociación de Jubilados y Pensionistas de l’Eliana 2026;PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA;Otras actividades de servicios sociales sin alojamiento;Concesión directa - instrumental;6000.0;False;;0;beneficiario no empresarial (asociación/ayuntamiento/parroquia/club/...);0;me;
