doc_id,perfil_objetivo,sector_grupo,titulo,url,cnae,beneficiarios,nivel1,ambito,importe,deadline,abierto,prediccion_tool,relevante,notas
1126333,negocio,comercio,"Resolución de Alcaldía núm. 1496, de 10 de agosto de 2026, por la que se aprueba la convocatoria de ayudas municipales a la promoción económica en el municipio de Alginet.",https://alginet.sede.dival.es/,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,20000.0,2026-09-30,False,sí,,
1126064,negocio,comercio,BASES REGULADORAS Y CONVOCATORIA DEL PROGRAMA “BO COMERÇ D’ALMUSSAFES 2026” PARA LA RECUPERACIÓN DEL SECTOR COMERCIAL Y SERVICIOS DE ALMUSSAFES,,COMERCIO AL POR MAYOR Y AL POR MENOR | OTROS SERVICIOS,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,35000.0,2026-09-07,False,no,,
1125632,negocio,comercio,"BASES REGULADORAS Y CONVOCATORIA DE LA CAMPAÑA DE FOMENTO DEL CONSUMO EN EL COMERCIO LOCAL DE XALÓ, MEDIANTE
LA EMISIÓN DE BONOS DE COMERCIO, anualidad 2026",https://xalo.sedelectronica.es/info.0,"ACTIVIDADES DE EDICIÓN, RADIODIFUSIÓN Y PRODUCCIÓN Y DISTRIBUCIÓN DE CONTENIDOS | COMERCIO AL POR MAYOR Y AL POR MENOR | HOSTELERÍA | OTROS SERVICIOS | TRANSPORTE Y ALMACENAMIENTO",PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES521 - Alicante / Alacant,81474.0,,False,sí,,
1125567,negocio,comercio,Convocatoria de subvenciones destinadas a la campaña de promoción de bonos comercio del ejercicio 2026,,COMERCIO AL POR MAYOR Y AL POR MENOR,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA | PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,40000.0,2026-10-31,False,sí,,
1125447,negocio,comercio,Anuncio del Ayuntamiento de Museros sobre convocatoria de premios al uso del valenciano en el comercio local de Museros 2026.,https://museros.sedelectronica.es/info.0 (sede electrónica Ayuntamiento Museros),COMERCIO AL POR MAYOR Y AL POR MENOR,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,,ES523 - Valencia / València,2000.0,2026-09-21,False,sí,,
1129515,negocio,comercio,CONCURSO DE ESCAPARATISMO Y AMBIENTACIÓN COMERCIAL CON MOTIVO DE LA XXV EDICIÓN DEL PRIMER CORTE DE LA MIEL EN EL MUNICIPIO DE AYORA,,COMERCIO AL POR MAYOR Y AL POR MENOR,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,1000.0,2026-09-14,False,sí,,
1129376,negocio,comercio,"EXP. 5295/2026.- OCTAVA CONVOCATORIA PARA LA CONCESIÓN DE SUBVENCIONES DENOMINADAS ""BONOS CONSUMO COMERCIO LOCAL DE ALMORADÍ (ALMORADÍ VALE X 2)”, EN RÉGIMEN DE CONCURRENCIA COMPETITIVA, ANUALIDAD 2026.",www.almoradi.es,"Actividades de agencias de viajes y operadores turísticos | Actividades deportivas | Comercio al por menor de artículos culturales y recreativos | Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones | Comercio al por menor de otros artículos de uso doméstico | Comercio al por menor de productos alimenticios, bebidas y tabaco | Comercio al por menor de vehículos de motor, motocicletas y sus repuestos y accesorios | Comercio al por menor no especializado | Otras actividades recreativas y de entretenimiento | Otros servicios de reservas y actividades relacionadas con los mismos | Restaurantes y puestos de comidas | Servicios de bebidas | Servicios de catering y otros servicios de comidas | Servicios personales",PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,331076.0,2026-09-08,False,no,,
1129022,negocio,comercio,"PROGRAMA DE AYUDAS ""BONO-CONSUMO 2026 CAMPAÑA OTOÑO"" DE FORMENTERA DEL SEGURA",https://formenteradelsegura.sedelectronica.es,Comercio al por menor | Servicios de comidas y bebidas,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,110340.0,2026-10-05,False,no,,
1129012,negocio,comercio,"Subvenciones dentro de la campaña de fomento del consumo en el comercio local de Els Poblets. Anualidad 2026. ""Compra en Els Poblets anualidad 2026""",https://elspoblets.sedelectronica.es/info.0,COMERCIO AL POR MAYOR Y AL POR MENOR,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES521 - Alicante / Alacant,75796.0,,False,no,,
1128857,negocio,comercio,CONVOCATORIA BONS DE COMERÇ TURÍS 2026 - CMPROM para la activación del consumo en el comercio local,https://turis.sedelectronica.es/board,COMERCIO AL POR MAYOR Y AL POR MENOR,PERSONAS FÍSICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES523 - Valencia / València,50000.0,2026-09-25,False,no,,
1128663,negocio,comercio,BASES REGULADORAS DE LA CONVOCATORIA PARA EL OTORGAMIENTO DE SUBVENCIONES PARA LA DIGITALIZACIÓN DE LAS ACTIVIDADES ECONOMICAS DESARROLLADAS EN ALCALÀ DE XIVERT POR AUTONOMOS O MICROEMPRESAS,,Comercio al por menor,PYME Y PERSONAS FÍSICAS QUE DESARROLLAN ACTIVIDAD ECONÓMICA,LOCAL,ES522 - Castellón / Castelló,10000.0,2026-09-30,False,sí,,
